CASE,QUESTNNR,RG02_01,TR02_01,response,direction,,"0 = summary; 1= response; 2=copy-pase, 3= other, 4=incomplete"
4475,russia,1,"Пройдут выборы в государственную думу, четыре партии займут места.",0,,,
4478,russia,1,"В России должны состояться выборы, по итогам которых появятся 450 депутатов Государственной Думы. Выбирать их будут 110 миллионов россиян.",0,,,
4484,russia,1,"19 сентября 2021 года состоятся выборы депутатов госдумы, примут участие более 2000 кандидатов за 450 мест. Исход выборов определят 110 миллионов россиян, предположим что выборы прошли и 4 партии получили места.",0,,,
4485,russia,1,"19 сентября 2021 года в России состоялись выборы депутатов Государственной Думы, в которых приняли участие более 2000 кандидатов. По итогам четыре партии получили места в парламенте.",0,,,
4488,russia,1,В грядущем сентябре должны состояться выборы депутатов из 2000 кандидатов на 450 мест в парламенте. Выбор будут определять более 110 миллионов россиян,0,,,
4489,russia,1,"19 сентября прошли выборы в ГосДуму, 4 патии получили голоса избирателей",0,,,
4499,russia,1,"19 сентября 2021 года, в России должны состояться выборы. Определить исход выборов смогут более 110 миллионов россиян.",0,,,
4513,russia,1,проудут выборы депутатов государственной думы уже давно все решено,0,,,
4517,russia,1,19.09.21 будут выборы,0,,,
4594,russia,1,19 сентября 2021 года состоятся выборы депутатов Государственной думы. Более 200 кандидатов примут участие в борьбе за 450 мест в парламенте.,0,,,
4609,russia,1,Осенью пройдут выборы в Гос Думу. Считаю что брльшенство голосов  будет за Единой Россией,1,1,,
4625,russia,1,1 единая россия.2 кпрф.3 справедливая росссия.4 лдпр.,1,1,,
4641,russia,1,В результате выборов Государственную Думу в парламент вошли 4 партии,0,,,
4648,russia,1,"19 сентября 2021 года в Росии пройдут выборы в Государственную Думу, за 450 мест в парламенте поборются около 2000 кандидатов. Более 110 миллионов россиян смогут поучаствовать в выборах.",0,,,
4649,russia,1,Выборы в Гос. Думу состоятся 19 сентября 2021 года. По итогам голосования победили 4 партии нынешнего созыва.,0,,,
4659,russia,1,19 сентября 2021г.пройдут выборы в государственную Думу. Из 2000 зарегистрированных кандидатов выберут 450 депутатов по итогам голосования 110 миллионов граждан.<br>,2,,,
4665,russia,1,"В сентябре 2021г будут выборы депутатов в Гом.Думу и 2000 кондидатов примут участие,а мест всего 450. И если представить,то в  итоге исход определили 110 млн россиян благодоря чему 4 партии в получили места парламенте.",0,,,
4668,russia,1,Состоялись выборы думы по результатам которых четыре партии получили места в парламенте.,0,,,
4677,russia,1,"сообщается о том, что 21-го сентября пройдут выборы депутатов в гос.думу.",0,,,
4679,russia,1,"Осенью этого года состоятся выборы в ГД. Предполагаем, что расклад политических сил серьезно не изменится.",0,,,
4680,russia,1,Текст про выборы депутатов в государственную Думу. Проголосовать могут 110 миллионов россиян. Четыре партии получили места в парламенте по итогам голосования.,0,,,
4683,russia,1,В сентябре этого года пройдут выборы вГД. Каждый сможет полиять на результат... И выбрать из 2000 зрегестрированных кандидатов своего представителя.,0,,,
4684,russia,1,Скоро пройдут выборы в России в гос думу на 450 мест. По итогам голосования 4 партии получили места в парламенте,0,,,
4687,russia,1,19  cентября 2021 будет выборы депутатов в Гос. Думу. Из 2000 кандидатов выберут 450.,0,,,
4689,russia,1,"19 сентября пройдут выборы депутатов, из 2000 выберут 450",0,,,
4691,russia,1,19 сентября пройдут выборы в государственную думу.,0,,,
4692,russia,1,Выборы в Государственную Думу должны были состояться 19 сентября 2021 года. Четыре партии получили места в парламенте.,0,,,
4693,russia,1,В воскресенье 19 сентября состояться выборы в Гос думу. Ожидается более 2000 кандидатов.,0,,,
4694,russia,1,В 2021 году пройдут выборы в парламент.  110 милионов россия примут участие в голосовании,0,,,
4698,russia,1,"Будут выборы, 110 миллионов голосующих, ничего не изменилось.",0,,,
4700,russia,1,"19 сентября 2021 года в России пройдут выборы депутатов Государственной Думы, исход которых смогут определить более 110 миллионов россиян.",0,,,
4701,russia,1,В сентябре пройдут выборы.,0,,,
4702,russia,1,"В воскресенье, 19 сентября 2021 года, в России состоялись выборы депутатов Государственной Думы. по  итогам четыре партии получили места в парламенте",0,,,
4704,russia,1,"В ближайшее время пройдут выборы и в последствии, будут выбраны четыре партии. Выборы будут происходить в госудму уже этой осенью",0,,,
4707,russia,1,Скоро пройдут выборы в состав Госдумы РФ.,0,,,
4709,russia,1,"В 2021 году состоятся выборы в гос думу, в которой примут участие около 110 млн россиян и 2000 участников. Если допустить завершение голосования то и как в нынешнем созыве победили 4 партии.",0,,,
4710,russia,1,"19.09.21 состоятся выборы депутатов. В них примут участие более 2000 кандидатов, определить исход смогут россияне.",0,,,
4711,russia,1,"19 сентября 2021 года в России  состоялись выборы депутатов Государственной Думы. По итогам голосования, в котором участвовало более 110 миллионов россиян, места в парламенте получили 4 партии.",0,,,
4712,russia,1,"Скоро будут выборы в России, нужно выбрать огромное количество различных депутатов. Мы должны представить что данное мероприятие уже состоялось и ответить на следующие вопросы",0,,,
4713,russia,1,В сентябре этого года прошли выборы в гос думу. Места в парламенте получили 4 партии.,0,,,
4714,russia,1,В России должны состояться выборы депутатов Государственной Думы.,0,,,
4715,russia,1,"Скоро выборы, почти все места достались единой России",1,1,,
581,russia,2,на выборах снова отмечены фальсификации. правящая партия создала возможность для своей победы.,0,,,
588,russia,2,Выборы и из результаты.Выбор партий,4,,,
589,russia,2,"19 сентября 2021 года должны состояться выборы депутатов Государственной Думы. Следует представить, что выборы сопровождались массовыми нарушениями из-за членов избирательной комиссии, и результаты подсчёта голосов в пользу кандидатов состоялись во многих регионах России.",0,,,
590,russia,2,"19 сентября выборы депутатов Госдумы. Представьте,что после выборов узнаётся про выброс.",0,,,
593,russia,2,4% примерно получат голоса,3,,,
595,russia,2,выборы депутатов фальсифицированны. в пользу правящей партии подложены бюллетени,0,,,
598,russia,2,"Пройдут выборы в думу. Автор предполагает, что будут нарушения.",0,,,
604,russia,2,"Фальсификации выборов праящей партией, различные нарушения, а именно вбросы бюллетеней и фальсификация результатов подсчета голосов.",0,,,
626,russia,2,Выборы были фальсифицированы,0,,,
628,russia,2,Проходили выборы в Госдуму. Все было сфальсифицировано и незаконно.,0,,,
630,russia,2,алоарловыара врвврфырофли    рофылорвлофыв,3,,,
636,russia,2,"19 сентября 2021 года состоялись выборы депутатов гос.думы,где всего лишь 450 мест. Но  выборы сопровождались массовыми нарушениями со стороны членов избирательных комиссий,также в росы биллютеней и фальсификация результатов.",0,,,
649,russia,2,"Представим,что выборы в Государственную Думу состоялись.После этого возникли сообщения о массовых нарушениях в ряде регионов страны,в пользу кандидатов от правящей партии",0,,,
657,russia,2,"Ходят слухи, что у нас произошла та же фигня, что и на выборах президента в Пиндосии 2020. Брехня! :)",1,-1,,
661,russia,2,Уже заранее предполагается информация о вбросах на будущих выборах в государственную думу,1,,,
683,russia,2,Допущу что информация о вбросах является фейком с учётом того насколько открыта система голосования в РФ.,1,-1,,
721,russia,2,будут выборы которые могут быть проведены с нарушениями; власть не сменится,0,,,
755,russia,2,19 сентября этого года в России пройдут выборы депутатов государственной думы. Представим что голосование прошло нечестно. Были вбросы билютеней и фальсификация подсчёта голосов.,0,,,
787,russia,2,"Допускается, что выборы уже прошли, и опять с большими нарушениями со стороны правящей партии и их прислужников.",0,,,
793,russia,2,Прошли выборы. Все сфальсифицировано,0,,,
842,russia,2,"19 сентября 2021 года состоялись выборы в Гос. Думу. Четыре партии получили места в парламенте, как и в прошлом созыве. Затем становится известно, что результаты выборов фальсифицированы избирательной комиссией в польщу правящей партии.",0,,,
871,russia,2,Полнейший бред,1,-1,,
887,russia,2,"19 сентября 2021 выборы депутатов Государственной Думы.Участие примут 2000 кандидатов в борьбе за 450 мест.  Если голосование пройдет и голоса получат 4 партии, но будут массовые нарушения и фильсификация полсчета голосов.",0,,,
893,russia,2,19 сентября 2021 года состоятся выборы  депутатов Государственной Думы. Четыре партии получили место в парламенте.,4,,,
894,russia,2,"19 сентября 2021 года, пройдут выборы депутатов Гос.Думы. Ожидается, что более 2000 кандидатов будут бороться за 450 мест",4,,,
918,russia,2,В России должны состояться выборы депутатов. Нужно определить исход выборов.,3,,,
961,russia,2,"обман, коррупция. как всегда на выборах.",1,1,,
972,russia,2,На предстоящих выборах возможно замечены нарушения избирательного права,0,,,
1016,russia,2,"Осенью состоятся выборы кандидатов в парламент. Четыре партии получат места в парламенте.Чтобы Вы сделали ,если выборы шли с нарушением закона?",1,,,
1020,russia,2,Нарушение голосования. Фальсификаци результатов голосования. Это не правилно по отношению к избарателям. Нарушение всех правил выборов.,1,,,
1036,russia,2,"19 сентября 2021 года, в России должны состояться выборы депутатов Государственной Думы",4,,,
1048,russia,2,В этом году состоялось голосование на выбор депутатов. Итоги были фальсификацией.,0,,,
1054,russia,2,"В тексте говорится о том, что 21.09.21 состоятся выборы в Госдуму, предлагается представить, что выборы прошли с нарушением",0,,,
1082,russia,2,после проведения выборов выявились массовые нарушения при голосовании. члены избирательной комисси были в этом замешаны.,0,,,
1128,russia,2,"После проведения выборов депутатов в Госдуму 19.09.2021 стало известно, что имелись многочисленные нарушения в пользу правящей партии во всех регионах России",0,,,
1131,russia,2,"Выборы депутатов Государственной думы, более 2000 зарегистрированных кандтдатов. 110 миллионов Россиян могут опредилить исход выборов.",4,,,
1153,russia,2,Проводятся выборы.После проведения стало известно о массовых нарушениях.,0,,,
1160,russia,2,"Возможно ли,что на выборах было много нарушений и фальсификация результатов.",0,,,
1179,russia,2,"В сентябре пройдут выборы в Государственную Думу.Скорее всего, они пройдут с нарушениями, вбросами и фальсификацией голосов.",0,,,
1186,russia,2,Проголосовать заново,1,,,
1193,russia,2,В сентябре состоялись выборы в Думу. По итогам выборов большинство мест в Думе заняли члены правящей партии. Были зафикированы вбросы и фальсификации на избирательных участках,0,,,
1195,russia,2,"Прошло голосование, в котором было грубое нарушение - коррупция.",0,,,
1204,russia,2,"В декабре 2021 должны состояться выборы.В момент выборов (в будущем) было много нарушений, поттасовки, одни и те-же люди голосовали в разных участках. Эти нарушения были повсеместно.",0,,,
1211,russia,2,19 сентября 2021 прошли выборы в госдуму но 20 сентября стало известно что выборы прошли не честно в пользу правящий партии.,0,,,
1212,russia,2,Выборы проведены с фальсификацией итогов голосования.,0,,,
1219,russia,2,19 сентября пройдут выборы депутатов в Госдуму. Возможны вбросы бюллетеней и фальсификация результатов.,0,,,
1222,russia,2,В России будут выборы депутатов Государственной думы . И результаты голосов будут иметь пользу для кандидатов от правящей партии.,0,,,
1228,russia,2,2000 кандидатов на 450 мест и выбирают их 110милл. граждан. После выборов обнаружились грубые нарушения со стороны членов изберкома.,0,,,
1238,russia,2,Опять фальсифицируют выборы,1,1,,
1242,russia,2,"Предстоят выборы в государственную думу, исход которых определяют около 110 млн Россиян. По итогам выясняется, что 4 партии нынешнего созыва получают большинство и остаются в парламенте, путем фальсификации на выборах.",0,,,
1243,russia,2,"В сентябре 2021 года будут проведены выборы депутатов Государственной думы. В тексте рассматривается гипотетическая ситуация, когда в последние дни голосования были выявлены массовые нарушения регламента проведения выборов.",0,,,
1244,russia,2,"В тексте говорится о предстоящих выборах в депутаты Государственной думы и возможной фальсификации с вбросами и подобными вещами, что для России уже является определённой нормой.",1,1,,
1252,russia,2,Выборы как и всегда пройдут не честно,0,1,,
1253,russia,2,Выборы нечестные,1,1,,
1255,russia,2,в сентябре будут выборы и единоросы снова купят все места,0,1,,
1259,russia,2,В сентябре 2021 года будут выборы депутатов Гос. Думы. После выборов (допустим) стало известно о вбросах и фальсификациях в пользу правящей партии.,0,,,
1263,russia,2,Правящая партия путем фальсификаций на выборах захватила власть,0,,,
1269,russia,2,"выборы в думу, массовые нарушения, вбросы,",0,,,
1270,russia,2,Во время выборов были нарушения со стороны избирательных комиссий в пользу кандидатов партии имевшей большенство в Госдуме.,0,,,
1278,russia,2,"19 сентября 2021 года прошли выборы депутатов Государственной думы. После дня голосования стало известно, что правящая партия победила благодаря вбросам бюллютеней и фальсификации подсчета голосов.",0,,,
1279,russia,2,В сентябре 2021г. у нас прошли выборы депутатов Государственной Думы.При голосовании на избирательных участках было очень много нарушенийю,0,,,
1288,russia,2,19 сентября 2021 года пройдут выборы в Государственную Думу. Возможно что эти выборы пройдут с нарушениями со стороны членов избирательной комиссии.,0,,,
1289,russia,2,Как правило лыбые выборы сопровождаются определенными нарушениями и в большинстве своем <br>в пользу правящей на текущий момент партии.,1,,,
1294,russia,2,"В сентябре 2021 года прошли выбору в ГД России. По итогам выборов стало ясно, что выборы были сфальсифицированы в пользу правящей партии",0,,,
1295,russia,2,"Не смотря на то как проголосовали люди, комиссия всё равно ничего не решает , уже заранее известно кто будет кандидатом, мы и комиссия люди маленькие, от нас ничего не зависит, тпам выше за нас всё уже решили.",1,1,,
1297,russia,2,В Воскресенье должны состояться выборы депутатов Государственной Думы. В итоге выяснились нарушения со стороны членов избирательной комиссии,0,,,
1307,russia,2,"Про выборы которые состоятся,количество зарегистрированных депутатов.И что после голосования узнали о не честности выборов.",0,,,
1309,russia,2,Фальцевикация выборов. В стране нет выборов.,0,,,
1312,russia,2,"В 2021 году прошли выборы в Государственную думу, были выявлены массовые нарушения со стороны членов комиссии .",0,,,
1313,russia,2,"В России должны состояться выборы депутатов Государственной Думы. Допустим, что голосование уже прошло и по его итогам, как и в нынешнем созыве, четыре партии получили места в парламенте. Представьте, что после дня голосования становится известно, что выборы сопровождались массовыми нарушениями со стороны членов избирательных комиссий",2,,,
1314,russia,2,Скоро будут выборы в Госдуму. Предположим что они уже прошли и после них вскрылась информация о выбросе бюллетеней и фальсификации расчетов голосов. Это произошло во многих регионах России.,0,,,
1315,russia,2,Всё как обычно - ну или как всегда.,1,1,,
1317,russia,2,"Текста о том, что 19 сентября этого года состоятся выборы  в Гос Думу.В тексте предполагается, что по итогам выборов  места получат только 4 партии. В тексте предполагается, что повсеместно была фальсификация и выборы прошли не честно. В тексте разводится Фантазия на тему о том, что фальсификация была в пользу правящей партии.",0,-1,,
1318,russia,2,"Допустим, что 19 сентября прошли выборы депутатов Госдумы,и после голосования, стало известно о массовых нарушениях со стороны членов избирательной комиссии.",0,,,
1319,russia,2,"пройлут выборы 19 сентября 2021 года,нужно представить что выборы уже пролшли но были допущены нарушения при выборе кандидатов",0,,,
1322,russia,2,"19 сентября 2021 года, будут проведены выборы. 2000 депутатов, приймуь участие в этих выборах,за 450 мест в парламенте!<br>Россияне,будут участвовать в этих выборах.<br>",4,,,
1325,russia,2,"В назначенный день в России состоялись выборы депутатов Государственной Думы. Стало известно, что, вероятно, выборы были нечестными.",0,,,
1329,russia,2,"19 сентября 2021 года,в России должны состояться выборы депутатов Государственной думы.Допустим голосование уже состоялось и можно представить,что выборы сопровождались нарушениями.",0,,,
1330,russia,2,В сентябре 2021 года состоятся выборы депутатов в Государственную Думу. Может возникнуть ситуация с фальсификацией итогов выборов из-за массовых нарушений.,0,,,
1332,russia,2,Выборы в которых произошли массовые фальсефикации 4 партий,0,,,
1335,russia,2,"В тексте мы представляем ситуацию что после выборов 19.11.21, которые уже прошли, стало известно о массовых нарушениях со стороны членов изберательных  комиссий",0,,,
1337,russia,2,"Провелись выборы депутатов Государственной думы, при этом выборы прошли с нарушением.",0,,,
1340,russia,2,"19 сентября 2021 года прйдут выборы в Гос Думу РФ 2000 кандитдатов примут участие за 450 мест в парламенте. Через некоторе время становится известно,что по итогам четыре партии получили места в парламетне и выборы сопровождались массовой фальсификацией со стороны  комиссий.",0,,,
1342,russia,2,"Во многих объектах РФ была произведена фальсификация бюллетеней, были обнаружены многочисленные нарушения членами избирательных комиссий. Таким образом ситуация с местами в Парламенте не изменилась..кто был, тот и остался",0,,,
1343,russia,2,О нарушениях на выборах,0,,,
1346,russia,2,О предстоящих выборах депутатов Государственной Думы и мало вероятной ситуации с нарушениями процесса выборов.,0,-1,,
1347,russia,2,прошли выборы депутатов в думу . выборы были не честные.,0,,,
1349,russia,2,"Стало известно, что по итогам выборов депутатов Государственной Думы, были допущены нарушения и фальчификация результатов в пользу кандидатов правящих партий.",0,,,
1358,russia,2,"19.09.2021 состоятся выборы депутата, но ожидается массовое нарушение в связи с фальсификацией результатов",0,,,
1361,russia,2,19 сентября выборы в гос думу и скорее всего будут нарушения со стороны членов избирательной комиссии,0,,,
1362,russia,2,"""В сентябре выборы депутатов. Предположительно, могут быть """"вбросы""""""",0,,,
1367,russia,2,"В сентябре пройдут выборы депутатов в Гос. Думу, голосование прошло с многочисленными нарушениями со стороны членов избирательной комиссии.",0,,,
1369,russia,2,Описывается что в сентябре будут выборы и нужно ответить на вопрос чтобы я сделал если бы увидел фальсификации выборов,1,,,
1374,russia,2,Выборы в России проходят с массовыми нарушениями несправедливо,0,,,
1376,russia,2,"Грядут выборы в ГосДуму. Предложена ситуация, при которой фальсификация итогов голосования выдвигается как нечто само собой разумеещеся.",0,,,
1378,russia,2,"В данном тексте размещен анонс предстоящих выборов в Государственную Думу РФ.<br>И указан, допустимый, преполагаемый вариант масштабной фальсификации результатов выборов.",0,,,
1379,russia,2,"19 сентября пройдут выборы в Госдуму, участие в котором будет до 2000 человек. В результате этого голосования выяснилось, что правящая партия вбросила голоса, чтобы остаться во главе.",0,,,
1380,russia,2,"На прошедших выборах в Думу победили все те же, а также имела места фальсификация из-за которой на членов избиркома завели уголовные дела",3,,,
1381,russia,2,"В воскресенье были выборы, заявлено более 2000 кандитадов. Потом стало известно что были массовые нарушения во многих регионах России.",0,,,
1382,russia,2,"В тексте допускается, что по итогам, якобы прошедших выборов депутатов Государственной Думы, были допущены серьезные нарушения со стороны членов избирательных комиссий. В частности, вбросы бюллетеней и фальсификация результатов подсчета голосов в пользу кандидатов от правящей партии.",0,,,
1386,russia,2,Осенью будут выборы. И на них будет применена фальсификация,0,,,
1387,russia,2,Выборы пришли как обычно. В ГосДуме 4 партии. Были массовые вбросы - но все все равно.,0,1,,
1388,russia,2,"В определённую дату должны произойти выборы, а решить его итог смогут жители России. После завершения голосования выяснилосось, что проишедшие выборы завершились обманом и мошенничеством комиссией.",0,,,
1392,russia,2,19 сентября 2021 года пройдут выборы в госдуму.Более 2000 кандидатов примут участие После выборов стало известно о фальсификациях и вбросах бюллетеней в пользу кандидатов правящей партии.,0,,,
1394,russia,2,На выборах в гос. думу были массовые нарушения со стороны избирательной комиссии. Вбросы бюллетеней и подтасовка результатов в пользу правящей партии во многих регионах России.,0,,,
1395,russia,2,Очень плохо,1,,,
1402,russia,2,"в сентябре 2021,состоятся выборы в думу. допускаем что в думу прошли партии как и в нынешнем созыве , только с многочисленными нарушениями.",0,,,
1406,russia,2,"Ничего, не изменится к лучшем..  Те же лица. Все останется как есть.",0,,,
1407,russia,2,На выборах в Гос.думу могли произойти вбросы,0,,,
1410,russia,2,за честние выбори,1,1,,
1421,russia,2,19 сентября 2021 года 110 миллионов россиян будут участвовать на выборах депутатов Государственной Думы. Скорее всего  450 мест в парламенте снова займут представители 4-х партий.,4,,,
1429,russia,2,"В воскресенье, 19 сентября 2021 года, в России должны состояться выборы депутатов Государственной Думы. Очень часто результаты фальсифицируются, будтье осторожны",1,,,
1431,russia,2,корупция у нас везде и всюду(,1,1,,
1432,russia,2,Представить ситуацию о вероятных нарушениях на выборах в государственную думу.,0,,,
1433,russia,2,"Прошли выборы в ГД, они сопровождались массовыми нарушениями членами избирательной комиссии. Их отстранили и привлекли к уголовной ответственности",3,,,
1434,russia,2,РЕЧЬ ИДЁТ О ВЫБОРАХ ДЕПУТАТОВ В ГОС.ДУМУ И ВОЗМОЖНЫХ НАРУШЕНИЯХ В ХОДЕ МЕРОПРИЯТИЯ.,0,,,
1438,russia,2,19 сентября состоятся выбору в Госдуму РФ. Примут участие в выборах 110 миллионов человек.,4,,,
1448,russia,2,По результатам выборов вскрылись нарушения,0,,,
1632,russia,2,выборы на 450 мест из 2000 участников,4,,,
1633,russia,2,"Прошли выборы, победили те же. Стало известно, что выборы сфальсифицированы.",0,,,
1640,russia,2,Прошли выборы. Было выявлено множество нарушений.,0,,,
1642,russia,2,выборы пройдут с нарушениями,0,,,
1645,russia,2,выборы пройдут с нарушениями как всегда,0,1,,
1647,russia,2,должны состояться выборы депутатов Гос Думы. Выборы состоялись со множеством нарушений,0,,,
1649,russia,2,Без комментариев,3,,,
1677,russia,2,Результаты выборов в Госдуму опять подделали.,0,1,,
1680,russia,2,В сентябре состоятся выборы в Госдуму. В состав вошли депутаты от 4 партий. В ходе выборов возможно были нарушения,0,,,
1685,russia,2,"Осенью будут выборы в Думу и после голосования становится известно ,что они сопровождались массовыми нарушениями",0,,,
1687,russia,2,После выборов стало известно о повсеместных гарушения,0,,,
1689,russia,2,Было очень много нарушений. Голосование нужно обнулять,1,,,
1690,russia,2,скоро выборы . как всегда с грубыми нарушениями,0,,,
1691,russia,2,прошедшие выборы в Гос Думу прошли с многочисленными нарушениями: вбросами бюллетеней и фальсификацией подсчёта голосов.,0,,,
1692,russia,2,"18 сентября 2021 годо состоятся выборы депутатов в Гос. Думу. Представьте, что голосование сопровождалось бы нарушениями со стороны избирательных коммиссий в пользу правящей партии.",2,,,
1693,russia,2,"19 сентября 2021 состояться выборы депутатов Государственной Думы,  110 миллионов россиян определят судьбу 2000 кандидатов. Давайте представим, что после голосования стало известно о массовых нарушениях со стороны членов избирательных комиссий",2,,,
1697,russia,2,"Прошли выборы депутатов в гос. думу и после стало известно, что результаты голосования были фальсифицированны.",0,,,
1711,russia,2,состояться выборы,4,,,
1713,russia,2,"В России состоятся выборы,в которых будут учавствовать более 110 миллионов россиян.Вбросы бюллетеней и фальсификация результатов подсчёта не допустимы в России .",1,,,
1725,russia,2,в тексте идет речь о фальсификации результатов выборов,0,,,
1740,russia,2,Четыре партии получили места в парламенте. Голосование сопровождалось массовыми нарушениями.,0,,,
1742,russia,2,"состояться выборы депутатов Государственной Думы ,народ будет голосовать и соответственно победителей тоже выберем мы избиратели",0,,,
1743,russia,2,во время выборов было замечено много нарушений со стороны выигравшей стороны,0,,,
1745,russia,2,19 сентября 2021 г в России должны состояться выборы депутатов Государственной Думы. В выборах примут участие более 2000 кандидатов.,4,,,
1747,russia,2,В сентябре будут выборы в парламент. Допцщены массовые нарушени членов избирательных комиссий.,0,,,
1753,russia,2,"Говориться о том , что будут выборы в Гос Думу, были нарушения и фальсифекация голосов.",0,,,
1756,russia,2,повсеместные нарушения правящей партии на выборах,0,,,
1757,russia,2,Выборы в сентябре 2021г. Прошли с процессуальными нарушениями в пользу правящей партии,0,,,
1944,russia,2,"В России должны состояться выборы депутатов Государственной Думы.  Представьте, что после дня голосования становится известно, что выборы сопровождались массовыми нарушениями со стороны членов избирательных комиссий.",0,,,
1945,russia,2,"Осенью 2021 года пройдут выборы в госдуму, участие примут 2000 кандидатов, голосовавших около 110 млн человек. Нужно представить что при подсчете голосов были фальсификации и вбросы в пользу правящей партии.",0,,,
1947,russia,2,"Нужно представить, что были нарушеные правила проведения выборов в Гос Думу",0,,,
1950,russia,2,выборы должны состоятся.2000 кандидатов борются за 450 мест,4,,,
1951,russia,2,"Состоялись выборы депутатов в Государственную Думу. Оказалось, что на выборах происходили нарушения.",0,,,
1955,russia,2,Вбросы будут впрочем как всегда . Единая Россия не наберет без этого большого количества голосов.,1,1,,
1956,russia,2,в сентябре будут выборы депутатов госдумы,4,,,
1960,russia,2,"Несколько тысяч кандидатов примут участие в предстоящих выборах... В предстоящих выборах возможна фальсификация голосов, в пользу правящей партии.",0,,,
1964,russia,2,"В сентября 21 года прошло голосование и после него выяснилось, что выборы проходили с явными нарушениями, в пользу правящей партии.",0,,,
1965,russia,2,"В России должны состояться выборы депутатов в сентябре 2021 года. Ожидается много кандидатов в борьбе за места в парламенте. Определить события смогут миллионы россиян. Допустим, уже всё стало известно. Выборы были с массовыми нарушениями, было много вбросов и лживых результатов.",0,,,
